YEAR,TRIFD,FRS_ID,4. FACILITY NAME,5. STREET ADDRESS,CITY,COUNTY,8. ST,ZIP,LATITUDE,LONGITUDE,14. HORIZONTAL DATUM,PARENT_CO_NAME,PARENT_CO_DB_NUM,STANDARD_PARENT_CO_NAME,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,DOC_CTRL_NUM,CHEMICAL,ELEMENTAL_METAL_INCLUDED,TRI_CHEMICAL_COMPOUND_ID,CLEAN_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,UNIT_OF_MEASURE,FUGITIVE_AIR,STACK_AIR,WATER,UNDERGROUND,UNDERGROUND_CL_I,UNDERGROUND_C_II_V,LANDFILL,RCRA_C_LANDFILL,OTHER_LANDFILLS,SURFACE_IMPNDMNT,RCRA_SURFACE_IM,OTHER_SURFACE_I,OTHER_DISPOSAL,ON_SITE_RELEASE_TOTAL,POTW_TOTAL_TRANSFERS,OFF_SITE_RELEASE_TOTAL,OFF_SITE_RECYCLED_TOTAL,OFF_SITE_ENERGY_RECOVERY_T,OFF_SITE_TREATED_TOTAL,UNCLASSIFIED,TOTAL_TRANSFER,TOTAL_RELEASES,RELEASES
2018,78403CSTLR1300C,110000501993,VALERO REFINING TEXAS LP CORPUS CHRISTI EAST PLANT,1300 CANTWELL LN,CORPUS CHRISTI,NUECES,TX,78407,27.810775,-97.436658,NAD83,VALERO ENERGY CORP,082686916,VALERO ENERGY CORP,NO,324,Petroleum,1318217140351,Carbon disulfide,NO,0000075150,YES,TRI,NO,Non_Metal,NO,Pounds,0.03,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,26.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.13,0.0
2018,7759WBLNCH2415T,110059763536,BLANCHARD REFINING CO LLC,2401 5TH AVE S,TEXAS CITY,GALVESTON,TX,77590,29.374444,-94.925,NAD83,MARATHON PETROLEUM CORP,968393996,MARATHON PETROLEUM CORP,NO,2211,Electric Utilities,1318217184718,Hydrogen fluoride,NO,0007664393,YES,TRI,NO,Non_Metal,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,77630NVSTS355AF,110022523982,INV NYLON CHEMICALS AMERICAS ORANGE SITE,3055A FM 1006,ORANGE,ORANGE,TX,77630,30.054167,-93.752208,NAD83,KOCH INDUSTRIES INC,006944334,KOCH INDUSTRIES INC,NO,325,Chemicals,1318217352816,Phenol,NO,0000108952,YES,TRI,NO,Non_Metal,NO,Pounds,25.0,1500.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2925.0,0.0,1503.0,0.0,0.0,6800.0,0.0,8303.0,4428.0,0.0
2018,75062MHWKL2730C,110056144961,NCH CORP MOHAWK LABS DIV,2730 CARL RD,IRVING,DALLAS,TX,75062,32.842889,-96.929722,NAD83,NCH CORP,008963910,NCH CORP,NO,325,Chemicals,1318217419163,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,N040,NO,TRI,NO,Metal complound categories,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,77530RCCHM2502S,110000463221,LYONDELL CHEMICAL CO,2502 SHELDON RD,CHANNELVIEW,HARRIS,TX,77530,29.816654,-95.107603,NAD83,LYONDELLBASELL FINANCE CO,194123154,LYONDELLBASELL FINANCE CO,NO,325,Chemicals,1318217442211,Isoprene,NO,0000078795,NO,TRI,NO,Non_Metal,YES,Pounds,1775.0,10984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12759.0,0.0
2018,77012HLLPT9701M,110000460885,VALERO REFINING - TEXAS L.P. HOUSTON REFINERY,9701 MANCHESTER,HOUSTON,HARRIS,TX,77012,29.722274,-95.254401,NAD83,VALERO ENERGY CORP,,VALERO ENERGY CORP,NO,324,Petroleum,1318217249731,Phenanthrene,NO,0000085018,YES,TRI,NO,Non_Metal,NO,Pounds,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
2018,77028RSSLL4004H,110000874117,MAUSER CORP.,4004 HOMESTEAD RD,HOUSTON,HARRIS,TX,77028,29.79642,-95.30175,NAD83,,,MAUSER CORP,NO,332,Fabricated Metals,1318217163043,Ethylbenzene,NO,0000100414,YES,TRI,NO,Non_Metal,YES,Pounds,362.89,687.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.5,0.0,0.0,0.0,0.0,3689.57,0.0,3689.57,1050.5,0.0
2018,75859TXPSL2MILE,110008060187,ARCOSA LWS LLC STREETMAN TX,1 1/2 MILE N ON I-45,STREETMAN,NAVARRO,TX,75859,31.916667,-96.333333,NAD83,ARCOSA INC,081323613,ARCOSA INC,NO,999,Other,1318216922498,Lead compounds,NO,N420,YES,PBT,YES,Metal complound categories,NO,Pounds,0.273,21.75,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.25,0.0,95.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.774,0.0
2018,7960WBLNXX181ND,110070247348,14122 ABILENE 1,1801 N. DANVILLE,ABILENE,TAYLOR,TX,79603,32.47171,-99.77752,NAD83,,,SMYRNA READY MIX LLC,NO,327,Nonmetallic Mineral Product,1318217068333,Lead,NO,0007439921,NO,PBT,YES,Elemental metals,YES,Pounds,2.453,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.492,0.0
2018,77507CRPNT11002,110000462794,E R CARPENTER LP,11002 CHOATE RD,PASADENA,HARRIS,TX,77507,29.62001,-95.0455,NAD83,CARPENTER CO,003109444,CARPENTER CO,NO,325,Chemicals,1318217095569,Formaldehyde,NO,0000050000,YES,TRI,NO,Non_Metal,YES,Pounds,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.2,8.176,0.0,0.0,94.024,0.0,102.2,9.176,0.0
